Month,ZipCode,MeanValue
2001-06-30,78645,181826.7644
2001-06-30,78726,317254.0208
2001-06-30,78730,495002.5832
2001-06-30,78733,428553.4529
2001-06-30,78721,123481.6602
2001-06-30,78701,332665.6898
2001-06-30,78756,285306.4152
2001-06-30,78736,201094.2787
2001-06-30,78652,203568.9542
2001-06-30,78669,238938.4399
2001-06-30,78725,113484.5944
2001-06-30,78719,127862.3773
2001-07-31,78660,188056.7436
2001-07-31,78745,156868.3257
2001-07-31,78753,141346.9378
2001-07-31,78704,241312.2435
2001-07-31,78758,144381.8056
2001-07-31,78748,194192.2517
2001-07-31,78744,111863.1641
2001-07-31,78741,140570.484
2001-07-31,78759,304215.6741
2001-07-31,78653,151944.4551
2001-07-31,78723,154707.369
2001-07-31,78749,283272.9042
2001-07-31,78750,273956.041
2001-07-31,78754,180123.6712
2001-07-31,78727,202619.9687
2001-07-31,78746,557409.4968
2001-07-31,78705,219742.0493
2001-07-31,78738,362837.7076
2001-07-31,78724,108066.0977
2001-07-31,78728,204369.4021
2001-07-31,78617,141467.9034
2001-07-31,78731,401876.2041
2001-07-31,78757,244326.561
2001-07-31,78752,141756.5881
2001-07-31,78703,514682.5205
2001-07-31,78734,272232.9039
2001-07-31,78739,379094.0442
2001-07-31,78735,364780.0793
2001-07-31,78747,198285.8936
2001-07-31,78732,418385.625
2001-07-31,78751,254472.6275
2001-07-31,78645,181529.3213
2001-07-31,78726,317605.2851
2001-07-31,78730,495979.9503
2001-07-31,78733,430061.4254
2001-07-31,78721,123621.9777
2001-07-31,78701,330727.8534
2001-07-31,78756,285610.3291
2001-07-31,78736,202723.8378
2001-07-31,78652,203075.7686
2001-07-31,78669,238548.4174
2001-07-31,78725,114170.0857
2001-07-31,78719,126754.8397
2001-08-31,78660,188468.2343
2001-08-31,78745,157552.4536
2001-08-31,78753,141623.5747
2001-08-31,78704,240929.8538
2001-08-31,78758,144616.0116
2001-08-31,78748,194771.6031
2001-08-31,78744,112511.5207
2001-08-31,78741,140387.1354
2001-08-31,78759,304942.904
2001-08-31,78653,152577.2904
2001-08-31,78723,154656.6601
2001-08-31,78749,284174.5611
2001-08-31,78750,273664.889
2001-08-31,78754,180581.2579
2001-08-31,78727,203234.2718
2001-08-31,78746,553528.731
2001-08-31,78705,218429.2165
2001-08-31,78738,364230.6293
2001-08-31,78724,108295.2565
2001-08-31,78728,204838.4143
2001-08-31,78617,140491.4612
2001-08-31,78731,401217.6537
2001-08-31,78757,245906.316
2001-08-31,78752,141531.7274
2001-08-31,78703,512611.7071
2001-08-31,78734,272741.0449
2001-08-31,78739,379092.6704
2001-08-31,78735,364371.1342
2001-08-31,78747,198071.6239
2001-08-31,78732,418815.1691
2001-08-31,78751,252887.3607
2001-08-31,78645,181823.6261
2001-08-31,78726,317780.2322
2001-08-31,78730,496865.7646
2001-08-31,78733,431843.7997
2001-08-31,78721,124022.0092
2001-08-31,78701,329264.187
2001-08-31,78756,285899.3773
2001-08-31,78736,203810.7095
2001-08-31,78652,202802.243
2001-08-31,78669,239091.4427
2001-08-31,78725,114704.1746
2001-08-31,78719,125660.849
2001-09-30,78660,188697.4641
2001-09-30,78745,158169.2445
2001-09-30,78753,141650.9958
2001-09-30,78704,241232.4878
2001-09-30,78758,144906.1342
2001-09-30,78748,194982.3937
2001-09-30,78744,113118.6839
2001-09-30,78741,140219.8085
2001-09-30,78759,305744.6721
2001-09-30,78653,152801.8477
2001-09-30,78723,153672.6207
2001-09-30,78749,284632.9371
2001-09-30,78750,273935.1309
2001-09-30,78754,181058.9922
2001-09-30,78727,203413.3661
2001-09-30,78746,548050.3378
2001-09-30,78705,218820.258
2001-09-30,78738,365157.8293
2001-09-30,78724,108430.0308
2001-09-30,78728,205178.4399
2001-09-30,78617,139824.5282
2001-09-30,78731,400948.5568
2001-09-30,78757,246104.153
2001-09-30,78752,139970.246
2001-09-30,78703,507542.628
2001-09-30,78734,273170.5357
2001-09-30,78739,378408.5331
2001-09-30,78735,365088.8472
2001-09-30,78747,198021.872
2001-09-30,78732,418813.585
2001-09-30,78751,250339.6588
2001-09-30,78645,182267.4104
2001-09-30,78726,317368.0275
2001-09-30,78730,496041.5059
2001-09-30,78733,432739.6785
